ELECTRIC_CAR Audi, e-tron, 300KW, 70000Ah, 78000 euro
ELECTRIC_CAR BMW, i4, 180KW, 55000Ah, 52000 euro
GAS_CAR Ford, Focus, 1.60L, 85KW, 21000 euro
GAS_CAR Honda, Civic, 1.50L, 80KW, 18000 euro
ELECTRIC_CAR Hyundai, Kona Electric, 150KW, 64000Ah, 42000 euro
HYBRID_CAR Hyundai, Ioniq, 1.60L, 45KW, 10000Ah, 23000 euro
HYBRID_CAR Kia, Niro, 1.60L, 50KW, 11000Ah, 26000 euro
HYBRID_CAR Lexus, CT200h, 1.80L, 60KW, 13000Ah, 31000 euro
ELECTRIC_CAR Nissan, Leaf, 110KW, 40000Ah, 29000 euro
GAS_CAR Opel, Astra, 1.20L, 75KW, 19500 euro
ELECTRIC_CAR TTTTTTTTTTT, hhhhhhhhhhhhhh, 456KW, 456Ah, 456 euro
ELECTRIC_CAR Tesla, Model 3, 150KW, 50000Ah, 30000 euro
GAS_CAR Test2, Test2, 22.22L, 90KW, 5000 euro
ELECTRIC_CAR Test3, Test3, 75KW, 100Ah, 1789 euro
ELECTRIC_CAR Test4, Test4, 450KW, 7800Ah, 5600 euro
HYBRID_CAR Toyota, Prius, 1.50L, 50KW, 12000Ah, 24000 euro
ELECTRIC_CAR Volkswagen, ID.4, 150KW, 77000Ah, 50000 euro
GAS_CAR Volkswagen, Golf, 1.40L, 90KW, 22000 euro
ELECTRIC_CAR sjadh, kasldj, 450KW, 4555Ah, 56700 euro
ELECTRIC_CAR test5, test5, 45KW, 435Ah, 6700 euro
